3783    14124
7188	1	1
430	1	1
3134	1	1
3026	1	1
3010	1	1
804	1	1
160	1	1
95	1	1
377	1	1
888	1	1
89	1	1
1901	1	1
161	1	1
256	1	1
351	1	1
3329	1	1
3341	1	1
649	1	1
1583	1	1
87	1	1
37	1	1
309	1	1
821	1	1
1496	1	1
637	1	1
964	1	1
594	1	1
2249	1	1
554	1	1
20	1	1
2227	1	1
1315	1	1
519	1	1
1316	1	1
2149	1	1
1724	1	1
18	1	1
57	1	1
118	1	1
3254	1	1
1177	1	1
112	1	1
11	1	1
586	1	1
35	1	1
15	1	1
1445	1	1
152	1	1
2	1	1
113	1	1
44	1	1
2401	1	1
10	1	1
2378	1	1
126	1	1
3245	1	1
783	1	1
493	1	1
1358	1	1
1180	1	1
529	1	1
333	1	1
1538	1	1
2282	1	1
1519	1	1
2966	1	1
474	1	1
330	1	1
958	1	1
17	1	1
1295	1	1
38	1	1
1952	1	1
223	1	1
625	1	1
1392	1	1
3355	1	1
1881	1	1
58	1	1
96	1	1
1580	1	1
196	1	1
146	1	1
416	1	1
1198	1	1
3319	1	1
1867	1	1
896	1	1
617	1	1
3300	1	1
1877	1	1
462	1	1
3279	1	1
454	1	1
1860	1	1
121	1	1
151	1	1
1570	1	1
1573	1	1
1063	1	1
1353	1	1
459	1	1
2334	1	1
1267	1	1
1060	1	1
1061	1	1
7431	1	1
1355	1	1
71	1	1
3070	1	1
2113	1	1
3001	1	1
396	1	1
2260	1	1
142	1	1
2238	1	1
123	1	1
2942	1	1
1509	1	1
7410	1	1
1760	1	1
2876	1	1
259	1	1
1493	1	1
2845	1	1
370	1	1
2844	1	1
2167	1	1
156	1	1
2808	1	1
255	1	1
736	1	1
7603	1	1
346	1	1
9	1	1
75	1	1
175	1	1
2754	1	1
22	1	1
155	1	1
1261	1	1
2552	1	1
2586	1	1
710	1	1
578	1	1
472	1	1
2472	1	1
1606	1	1
4	1	1
563	1	1
744	1	1
3422	1	1
250	1	1
249	1	1
2427	1	1
3414	1	1
1590	1	1
2305	1	1
1900	1	1
3392	1	1
1065	1	1
1147	1	1
1072	1	1
3375	1	1
1024	1	1
709	1	1
1382	1	1
3332	1	1
1885	1	1
3330	1	1
1197	1	1
3316	1	1
1886	1	1
154	1	1
1522	1	1
2391	1	1
3298	1	1
432	1	1
3292	1	1
3290	1	1
7597	1	1
3274	1	1
1875	1	1
291	1	1
158	1	1
1579	1	1
1846	1	1
1066	1	1
290	1	1
3233	1	1
891	1	1
247	1	1
1856	1	1
3211	1	1
115	1	1
1365	1	1
483	1	1
3210	1	1
3189	1	1
3193	1	1
2352	1	1
1847	1	1
3173	1	1
1051	1	1
1843	1	1
2342	1	1
7341	1	1
3139	1	1
1186	1	1
3167	1	1
3149	1	1
1842	1	1
3156	1	1
3141	1	1
817	1	1
1840	1	1
1839	1	1
2324	1	1
3143	1	1
3142	1	1
174	1	1
2315	1	1
1356	1	1
1835	1	1
296	1	1
3118	1	1
1542	1	1
3111	1	1
753	1	1
